%time,field.x,field.y,field.z,
"1,51103544904806E+018",0.0371228027344,-0.0490979003906,9.75371704102,0
"1,51103544905819E+018",0.0323327636719,-0.0490979003906,9.75132202148,0
"1,51103544906812E+018",0.0311352539063,-0.0514929199219,9.75251953125,0
"1,51103544907813E+018",0.0311352539063,-0.0514929199219,9.75251953125,0
"1,51103544908804E+018",0.0347277832031,-0.047900390625,9.74892700195,0
"1,51103544909813E+018",0.0407153320313,-0.0467028808594,9.74772949219,0
"1,51103544910809E+018",0.0431103515625,-0.047900390625,9.74533447266,0
"1,51103544911813E+018",0.0407153320313,-0.047900390625,9.75132202148,0
"1,51103544912805E+018",0.0419128417969,-0.047900390625,9.75012451172,0
"1,51103544913815E+018",0.0395178222656,-0.047900390625,9.75012451172,0
"1,51103544914808E+018",0.0335302734375,-0.0455053710938,9.74533447266,0
"1,51103544915813E+018",0.0359252929688,-0.0443078613281,9.74054443359,0
"1,51103544916806E+018",0.0395178222656,-0.0407153320313,9.7369519043,0
"1,51103544917813E+018",0.0455053710938,-0.0431103515625,9.73934692383,0
"1,51103544918813E+018",0.0407153320313,-0.0443078613281,9.74054443359,0
"1,51103544919812E+018",0.0407153320313,-0.0407153320313,9.73934692383,0
"1,51103544920808E+018",0.0395178222656,-0.0395178222656,9.73455688477,0
"1,51103544921817E+018",0.0371228027344,-0.0407153320313,9.73096435547,0
"1,51103544922811E+018",0.0371228027344,-0.0431103515625,9.7297668457,0
"1,51103544923816E+018",0.0359252929688,-0.047900390625,9.73096435547,0
"1,51103544924807E+018",0.0311352539063,-0.0502954101563,9.733359375,0
"1,51103544925822E+018",0.0323327636719,-0.0538879394531,9.74293945313,0
"1,5110354492681E+018",0.028740234375,-0.0514929199219,9.74772949219,0
"1,51103544927813E+018",0.0299377441406,-0.0526904296875,9.74772949219,0
"1,51103544928806E+018",0.0263452148438,-0.0502954101563,9.74772949219,0
"1,51103544929815E+018",0.0323327636719,-0.047900390625,9.74054443359,0
"1,51103544930809E+018",0.0335302734375,-0.0443078613281,9.73934692383,0
"1,51103544931812E+018",0.0311352539063,-0.0431103515625,9.73814941406,0
"1,51103544932806E+018",0.0311352539063,-0.047900390625,9.74293945313,0
"1,51103544933817E+018",0.0299377441406,-0.0490979003906,9.74653198242,0
"1,51103544934808E+018",0.0299377441406,-0.0538879394531,9.74653198242,0
"1,51103544935814E+018",0.0299377441406,-0.0502954101563,9.74772949219,0
"1,51103544936805E+018",0.0335302734375,-0.0490979003906,9.74772949219,0
"1,51103544937817E+018",0.0347277832031,-0.0443078613281,9.74653198242,0
"1,51103544938809E+018",0.0359252929688,-0.0455053710938,9.74653198242,0
"1,51103544939813E+018",0.0359252929688,-0.0443078613281,9.74892700195,0
"1,51103544940806E+018",0.0359252929688,-0.0455053710938,9.73934692383,0
"1,51103544941812E+018",0.0359252929688,-0.0407153320313,9.73934692383,0
